url,headline,date
https://www.latimes.com/world-nation/story/2024-01-30/israeli-undercover-forces-dressed-women-medics-storm-hospital,"Israeli undercover forces dressed as women and medics storm West Bank hospital, killing 3",2024-01-30
https://www.latimes.com/world-nation/story/2024-02-27/what-would-a-new-palestinian-government-in-the-west-bank-mean-for-the-war-in-gaza,What would a new Palestinian government in the West Bank mean for the war in Gaza?,2024-02-27
https://www.latimes.com/world-nation/story/2024-03-28/another-casualty-of-rising-tensions-in-the-west-bank-the-olive-harvest,Another casualty of escalating clashes in the West Bank: the Palestinian olive harvest,2024-03-28
https://www.latimes.com/world-nation/story/2024-08-31/israel-hamas-war-west-bank-gaza-deaths-polio-vaccine-campaign,"Deaths rise in Gaza and West Bank attacks, as a polio vaccine campaign begins in the Gaza Strip",2024-08-31
https://www.latimes.com/world-nation/story/2024-08-29/israel-kills-prominent-militant-as-it-wages-its-deadliest-west-bank-raids-since-the-gaza-war-began,Israel kills prominent militant as it wages its deadliest West Bank raids since the Gaza war began,2024-08-29
https://www.latimes.com/world-nation/story/2023-11-30/la-fg-palestinians-face-settler-attacks,"Palestinians face beatings, fires and drones from Israeli settlers in West Bank ",2023-11-30
https://www.latimes.com/world-nation/story/2024-01-29/a-palestinian-is-killed-while-with-a-group-waving-a-white-flag-israel-says-it-will-look-into-it,A Palestinian is killed while with a group waving a white flag. Israel says it will look into it,2024-01-29
https://www.latimes.com/world-nation/story/2024-02-29/palestinian-aid-deaths-israel-hamas-war,Israeli troops fire on Palestinians seeking food. Israel says deadly scene was a chaotic stampede,2024-02-29
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-02-29/war-is-hell-is-an-awful-excuse-to-keep-killing-palestinians,Letters to the Editor: 'War is hell' is an awful excuse to keep killing Palestinians,2024-02-29
https://www.latimes.com/california/story/2024-02-27/pro-palestinian-protesters-shut-down-event-organized-by-jewish-students-at-uc-berkeley,Pro-Palestinian protesters shut down event organized by Pro-Israel student groups at UC Berkeley,2024-02-27
https://www.latimes.com/world-nation/story/2024-02-27/what-would-a-new-palestinian-government-in-the-west-bank-mean-for-the-war-in-gaza,What would a new Palestinian government in the West Bank mean for the war in Gaza?,2024-02-27
https://www.latimes.com/california/story/2024-02-26/san-jose-university-puts-professor-on-leave-after-altercation-with-pro-palestine-student,San José State University puts professor on leave over altercation with pro-Palestine student  ,2024-02-26
https://www.latimes.com/world-nation/story/2024-03-31/an-israeli-airstrike-hits-a-gaza-hospital-tent-camp-killing-2-palestinians-and-hurting-journalists,"Israeli airstrike hits Gaza hospital tent camp, killing 2 Palestinians and wounding journalists",2024-03-31
https://www.latimes.com/entertainment-arts/tv/story/2024-03-30/snl-ramy-youssef-host-travis-scott-donald-trump-james-austin-johnson,'SNL' host Ramy Youssef asks God to 'free the people of Palestine' and 'all the hostages' ,2024-03-30
